default	0x80FF00FF
0x0000	0x00000000
0x0001	0xFF817D7D
0x0002	0xFF4C9A38
0x0003	0xFF6A4E35
0x0004	0xFF757575
0x0005	0xFF9D8153
0x0006	0x6B1E2D10
0x0009	0x40002066
0x000C	0xFEE1D6A2
0x000D	0xFF726F6E
0x000E	0xFF8E877B
0x000F	0xFF89807C
0x0011	0xFE5B4527
0x0012	0x00336825
0x0014	0x3B2C3031
0x0016	0xFE1E48A6
0x0017	0xFF635F5F
0x0018	0xFFDFD6A6
0x001B	0xAB674934
0x001C	0x9B4C443E
0x001F	0x809A9A9A
0x0021	0xFE6D6660
0x0023	0xFFE0E0E1
0x0025	0x1E101600
0x0026	0x1D110501
0x0027	0x180F0B09
0x0028	0x21200809
0x0029	0xFEEBDD43
0x002A	0xFEC7C7C8
0x002C	0xFFA8A9A9
0x002D	0xFF8A5C50
0x002E	0xFF97462E
0x002F	0xFFA08558
0x0030	0xFF687963
0x0031	0xFE0C0B13
0x0032	0x13080703
0x0035	0xFFA08558
0x0036	0xFE6F5739
0x0039	0xFE83888A
0x003A	0xFE664429
0x003D	0xFF635F5F
0x0041	0x8F463822
0x0042	0x8F484238
0x0043	0xFF757575
0x0045	0x13040302
0x0046	0xFF817D7D
0x0048	0xFFA08558
0x004C	0x14100402
0x004E	0xFFE9F1F9
0x0050	0xFFE9F1F9
0x0051	0xC30B4912
0x0052	0xFE9EA4B0
0x0054	0xFF704E3B
0x0055	0x8F463822
0x0056	0xFEBA7419
0x0057	0xFE643130
0x0058	0xFE4B392E
0x0059	0xFE816B3F
0x005B	0xFFD58F0C
0x0060	0xDB70552E
0x0062	0xFE7E7E80
0x0065	0x73282827
0x0066	0x3B2C3031
0x006A	0x966B6B6B
0x006B	0x8F463822
0x006C	0xFF8A5C50
0x006D	0xFE7E7E80
0x006F	0x00214418
0x0070	0xFE643130
0x0071	0xFE643130
0x0072	0xFE643130
0x0074	0xFE5E403B
0x0079	0xFFD6D99F
0x007A	0xFE0B080F
0x007B	0xFE4D321F
0x007E	0xFFA08558
0x0080	0xFFDFD6A6
0x0085	0xFF59D77B
0x0086	0xFE6F5739
0x0087	0xFFC6B681
0x0088	0xFF9E7657
0x008B	0xFF757575
0x0091	0x9F282525
0x009D	0x9B4C443E
